id,cve_ent,nom_ent,actividad,X,Y,
G31,24,San Luis Potosí,Gasolineras,-100.9823829,22.17336866595145,
G32,24,San Luis Potosí,Gasolineras,-100.96851927304499,22.13644101557601,
G33,24,San Luis Potosí,Gasolineras,-100.97075092611693,22.13865964109177,
G34,24,San Luis Potosí,Gasolineras,-100.97050626629489,22.133949005934,
G35,24,San Luis Potosí,Gasolineras,-100.95940733114857,22.10866355995457,
G36,24,San Luis Potosí,Gasolineras,-100.9840148688463,22.16026083,
G37,24,San Luis Potosí,Gasolineras,-100.99118542230192,22.139977535224755,
G38,24,San Luis Potosí,Gasolineras,-100.9923570168492,22.14037508,
G39,24,San Luis Potosí,Gasolineras,-101.00493126350935,22.141279175607846,
G40,24,San Luis Potosí,Gasolineras,-101.00626247766456,22.142261497053187,
G41,24,San Luis Potosí,Gasolineras,-100.9558119,22.1774651,
G42,24,San Luis Potosí,Gasolineras,-101.03272740150742,22.1331501,
G43,24,San Luis Potosí,Gasolineras,-101.00245180488372,22.160193824453216,
G44,24,San Luis Potosí,Gasolineras,-100.98308605594963,22.174581980143234,
G45,24,San Luis Potosí,Gasolineras,-101.00025224801504,22.162969582335485,
G46,24,San Luis Potosí,Gasolineras,-101.00005662137731,22.160694537130066,
G47,24,San Luis Potosí,Gasolineras,-101.00202243219078,22.157324435419234,
G48,24,San Luis Potosí,Gasolineras,-101.0028378,22.156926973651835,
G49,24,San Luis Potosí,Gasolineras,-100.9835148456845,22.14770927862263,
G50,24,San Luis Potosí,Gasolineras,-100.99485650335515,22.16336732431885,
G51,24,San Luis Potosí,Gasolineras,-101.00116510772325,22.166526721405674,
G52,24,San Luis Potosí,Gasolineras,-100.98194140998015,22.156054541592706,
G53,24,San Luis Potosí,Gasolineras,-100.98349565917802,22.147666429785126,
G54,24,San Luis Potosí,Gasolineras,-100.95615277130116,22.16499109608751,
G55,24,San Luis Potosí,Gasolineras,-100.91985147267219,22.12362920236313,
G56,24,San Luis Potosí,Gasolineras,-100.9568453267194,22.1443366166312,
G57,24,San Luis Potosí,Gasolineras,-100.96645670517997,22.146210498798983,
G58,24,San Luis Potosí,Gasolineras,-100.95577754568416,22.165294704877798,
G59,24,San Luis Potosí,Gasolineras,-100.91995650010666,22.158102015277933,
G60,24,San Luis Potosí,Gasolineras,-100.8945286,22.152924362709467,
